name,image1,image2,price,link,product_type
AQUA RIPPLE KNITWEAR TOP,https://www.bonkerscorner.com/cdn/shop/files/Group4.png?v=1761563971,,₹999,https://www.bonkerscorner.com/collections/tops-women/products/aqua-ripple-knitwear-top,tops
CANDY SUNSET KNITWEAR TOP,https://www.bonkerscorner.com/cdn/shop/files/BonkersCorner29-09-2025-24851.jpg?v=1761564176,,₹999,https://www.bonkerscorner.com/collections/tops-women/products/candy-sunset-knitwear-top,tops
WHITE BASIC BABY TEE,https://www.bonkerscorner.com/cdn/shop/files/BonkersCorner21-01-2025-02941.jpg?v=1759816809,,₹599,https://www.bonkerscorner.com/collections/tops-women/products/white-basic-baby-tee,tops
BLACK RIBBED CROP TOP,https://www.bonkerscorner.com/cdn/shop/files/BonkersCorner18-02-2025-6544.jpg?v=1759816412,,₹599,https://www.bonkerscorner.com/collections/tops-women/products/black-ribbed-crop-top,tops
PICKLEBALL CLUB RINGER TOP,https://www.bonkerscorner.com/cdn/shop/files/Pickleball_Club_Ringer_Top136.jpg?v=1759230331,,₹999,https://www.bonkerscorner.com/collections/tops-women/products/pickleball-club-ringer-top,tops
FLEX FULL SLEEVES CROP TOP,https://www.bonkerscorner.com/cdn/shop/files/FlexFullSleevesCropTop2.jpg?v=1759230275,,₹999,https://www.bonkerscorner.com/collections/tops-women/products/flex-full-sleeves-crop-top,tops
POWER PLAY WHITE TANK TOP,https://www.bonkerscorner.com/cdn/shop/files/women_main_half_28.jpg?v=1761653806,,₹999,https://www.bonkerscorner.com/collections/tops-women/products/power-play-white-tank-top,tops
POWER PLAY TANK TOP,https://www.bonkerscorner.com/cdn/shop/files/womenmainhalf_1x_1_1.jpg?v=1761654059,,₹999,https://www.bonkerscorner.com/collections/tops-women/products/power-play-tank-top,tops
CLASSIC BRATZ KNITTED TUBE TOP,https://www.bonkerscorner.com/cdn/shop/files/bratz2.jpg?v=1758629126,,₹999,https://www.bonkerscorner.com/collections/tops-women/products/classic-bratz-knitted-tube-top,tops
WHITE CROP TUBE TOP,https://www.bonkerscorner.com/cdn/shop/files/WhiteCropTubeTop_3.jpg?v=1758279349,,₹499,https://www.bonkerscorner.com/collections/tops-women/products/white-crop-tube-top,tops
