name,image1,image2,price,link,product_type
BulBul Women Aqua Green Abstract Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1278.jpg?v=1750838195&width=533,https://bulbulfashions.com/cdn/shop/files/DOT1265.jpg?v=1750838199&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-aqua-green-abstract-printed-co-ord-set,coord
BulBul Women Blue and Cream Mixed Pattern Digital Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1349.jpg?v=1750838308&width=533,https://bulbulfashions.com/cdn/shop/files/DOT1383.jpg?v=1750838311&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-blue-and-cream-mixed-pattern-digital-printed-co-ord-set,coord
BulBul Women Blue Bandhani Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1315.jpg?v=1750838224&width=533,https://bulbulfashions.com/cdn/shop/files/DOT1331.jpg?v=1750838228&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-blue-bandhani-printed-co-ord-set,coord
BulBul Women Blue Embroidered Paisley Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1497.jpg?v=1750838259&width=533,https://bulbulfashions.com/cdn/shop/files/DOT1494.jpg?v=1750838262&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-blue-embroidered-paisley-printed-co-ord-set,coord
BulBul Women Orange  Abstract Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1392.jpg?v=1750838211&width=533,https://bulbulfashions.com/cdn/shop/files/DOT1386.jpg?v=1750838214&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-orange-abstract-printed-co-ord-set,coord
BulBul Women Peach Embroidered Paisley Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1429.jpg?v=1750838276&width=533,https://bulbulfashions.com/cdn/shop/files/DOT1458.jpg?v=1750838280&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-peach-embroidered-paisley-printed-co-ord-set,coord
BulBul Women Red and Cream Mixed Pattern Digital Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1474.jpg?v=1750838293&width=533,https://bulbulfashions.com/cdn/shop/files/DOT1462.jpg?v=1750838297&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-red-and-cream-mixed-pattern-digital-printed-co-ord-set,coord
BulBul Women Red Bandhani Printed Co-ord Set,https://bulbulfashions.com/cdn/shop/files/DOT1227.jpg?v=1761885438&width=533,https://bulbulfashions.com/cdn/shop/files/WhatsApp_Image_2025-07-19_at_12.28.30_PM.jpg?v=1761885438&width=533,"₹1,999INR",https://bulbulfashions.com/products/bulbul-women-red-bandhani-printed-co-ord-set,coord
Mahi Red Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/1_eab081d8-6eb8-4f0e-a04e-1b67b4aeca6b.jpg?v=1750837483&width=533,https://bulbulfashions.com/cdn/shop/files/2_744c848e-b51b-4a88-a508-855c39e666e4.jpg?v=1750837485&width=533,"₹1,899INR",https://bulbulfashions.com/products/mahi-red-co-ord-set,coord
Mahi Purple Co-Ord Set,https://bulbulfashions.com/cdn/shop/files/1_c54af8ba-10a3-43dc-9c15-73fe8b90afd3.jpg?v=1750837474&width=533,https://bulbulfashions.com/cdn/shop/files/2_bb797dfe-eae5-431b-a589-ba299f7157da.jpg?v=1750837476&width=533,"₹1,899INR",https://bulbulfashions.com/products/mahi-purple-co-ord-set,coord
