name,image1,image2,price,link,product_type
Chimpaaanzee Women Peach Flower Printed Cold shoulder full sleeve Top,//www.chimpaaanzee.com/cdn/shop/products/1_f1afca3f-80ef-4987-b14d-dd8d35320d6d.jpg?v=1753424630&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_cf636251-ee12-4e2a-a801-60f3daedb8f9.jpg?v=1753424630&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-peach-flower-printed-cold-shoulder-full-sleeve-top,tops
Chimpaaanzee Women Crepe Yellow Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_e8aae3da-c9d3-40af-b30d-0ccd91fa6beb.jpg?v=1753424665&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_98f13d92-15ee-49c2-868f-f7e1cd404848.jpg?v=1753424665&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-yellow-flower-printed-ruffled-top,tops
Chimpaaanzee Women Crepe Maroon Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_5281ca1a-5451-49f0-b2d7-af6533e8a242.jpg?v=1753424666&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_95dc35b6-7b63-4bca-960f-39c75099c09a.jpg?v=1753424666&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-maroon-flower-printed-ruffled-top,tops
Chimpaaanzee Women Crepe Peach Polka Dotted Cold Shoulder Top,//www.chimpaaanzee.com/cdn/shop/products/1_c420102f-7f83-4ed4-a585-ecd2f35df50b.jpg?v=1753424668&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_d44047c4-1eb1-4925-9515-d93239ca7aa2.jpg?v=1753424668&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-peach-polka-dotted-cold-shoulder-top,tops
Chimpaaanzee Women Crepe Grey Polka Dotted Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_b6f0bc6e-2028-40f5-921d-879a2dcc520e.jpg?v=1753424671&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_66f640e9-6aaf-4007-81a2-e41df19f938c.jpg?v=1753424671&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-grey-polka-dotted-ruffled-top,tops
Chimpaaanzee Women Pista Green Flower Printed back side open Top,//www.chimpaaanzee.com/cdn/shop/products/1_6d0d012c-8f20-4cc2-a88c-a24c7f45fdca.jpg?v=1753424717&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_80831110-47ca-4612-ad1b-55553df7ec20.jpg?v=1753424717&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-pista-green-flower-printed-back-side-open-top,tops
Chimpaaanzee Women Skyblue Flower Printed back side open Top,//www.chimpaaanzee.com/cdn/shop/products/1_882d3197-fdc2-4a0f-9a03-d7f1b5ae50f6.jpg?v=1753424718&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_aecf9939-760d-4439-aa5d-560b4ca58550.jpg?v=1753424719&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-skyblue-flower-printed-back-side-open-top,tops
Chimpaaanzee Women Pista Green Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_772c49fc-18b2-4007-9865-7575122e7921.jpg?v=1753424720&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_7715f379-4448-4b1b-8cfa-8067d8bc96b3.jpg?v=1753424720&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-pista-green-flower-printed-ruffled-top,tops
Chimpaaanzee Women Green Solid V-Round Ruffled Sleeve Top,//www.chimpaaanzee.com/cdn/shop/products/1_f9cede7f-ccda-43f2-9dd4-12879325fbc5.jpg?v=1753424726&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_a3acb5e6-9754-4049-ad78-b8a508f3cccd.jpg?v=1753424727&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-green-solid-v-round-ruffled-sleeve-top,tops
Chimpaaanzee Women Grey Solid Ruffled Crop Top,//www.chimpaaanzee.com/cdn/shop/products/1_7f27ec6f-d4ab-45b2-b4a9-6c903223de53.jpg?v=1753424730&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_0738bde2-65b9-4334-94e7-9e57e14958ae.jpg?v=1753424730&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-grey-solid-ruffled-crop-top,tops
Chimpaaanzee Women Crepe Grey Polka Doted Knotted Crop Top,//www.chimpaaanzee.com/cdn/shop/products/1_0de7385e-863d-4133-a920-b6340862de9e.jpg?v=1753424772&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_954ba42f-715d-4872-a1a1-c9735445b7ce.jpg?v=1753424772&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-grey-polka-doted-knotted-crop-top,tops
Chimpaaanzee Women Crepe Grey Open Back Bow Tie Top,//www.chimpaaanzee.com/cdn/shop/products/1_500e6c6c-2a8c-4954-b100-ebcc32cc03c7.jpg?v=1753424778&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_8d35ffbc-3481-4c19-acca-edaf3f19972e.jpg?v=1753424778&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-grey-open-back-bow-tie-top,tops
Chimpaaanzee Women Peach Flower Printed Cold shoulder full sleeve Top,//www.chimpaaanzee.com/cdn/shop/products/1_f1afca3f-80ef-4987-b14d-dd8d35320d6d.jpg?v=1753424630&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_cf636251-ee12-4e2a-a801-60f3daedb8f9.jpg?v=1753424630&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-peach-flower-printed-cold-shoulder-full-sleeve-top,tops
Chimpaaanzee Women Crepe Yellow Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_e8aae3da-c9d3-40af-b30d-0ccd91fa6beb.jpg?v=1753424665&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_98f13d92-15ee-49c2-868f-f7e1cd404848.jpg?v=1753424665&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-yellow-flower-printed-ruffled-top,tops
Chimpaaanzee Women Crepe Maroon Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_5281ca1a-5451-49f0-b2d7-af6533e8a242.jpg?v=1753424666&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_95dc35b6-7b63-4bca-960f-39c75099c09a.jpg?v=1753424666&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-maroon-flower-printed-ruffled-top,tops
Chimpaaanzee Women Crepe Peach Polka Dotted Cold Shoulder Top,//www.chimpaaanzee.com/cdn/shop/products/1_c420102f-7f83-4ed4-a585-ecd2f35df50b.jpg?v=1753424668&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_d44047c4-1eb1-4925-9515-d93239ca7aa2.jpg?v=1753424668&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-peach-polka-dotted-cold-shoulder-top,tops
Chimpaaanzee Women Crepe Grey Polka Dotted Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_b6f0bc6e-2028-40f5-921d-879a2dcc520e.jpg?v=1753424671&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_66f640e9-6aaf-4007-81a2-e41df19f938c.jpg?v=1753424671&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-grey-polka-dotted-ruffled-top,tops
Chimpaaanzee Women Pista Green Flower Printed back side open Top,//www.chimpaaanzee.com/cdn/shop/products/1_6d0d012c-8f20-4cc2-a88c-a24c7f45fdca.jpg?v=1753424717&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_80831110-47ca-4612-ad1b-55553df7ec20.jpg?v=1753424717&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-pista-green-flower-printed-back-side-open-top,tops
Chimpaaanzee Women Skyblue Flower Printed back side open Top,//www.chimpaaanzee.com/cdn/shop/products/1_882d3197-fdc2-4a0f-9a03-d7f1b5ae50f6.jpg?v=1753424718&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_aecf9939-760d-4439-aa5d-560b4ca58550.jpg?v=1753424719&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-skyblue-flower-printed-back-side-open-top,tops
Chimpaaanzee Women Pista Green Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_772c49fc-18b2-4007-9865-7575122e7921.jpg?v=1753424720&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_7715f379-4448-4b1b-8cfa-8067d8bc96b3.jpg?v=1753424720&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-pista-green-flower-printed-ruffled-top,tops
Chimpaaanzee Women Green Solid V-Round Ruffled Sleeve Top,//www.chimpaaanzee.com/cdn/shop/products/1_f9cede7f-ccda-43f2-9dd4-12879325fbc5.jpg?v=1753424726&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_a3acb5e6-9754-4049-ad78-b8a508f3cccd.jpg?v=1753424727&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-green-solid-v-round-ruffled-sleeve-top,tops
Chimpaaanzee Women Grey Solid Ruffled Crop Top,//www.chimpaaanzee.com/cdn/shop/products/1_7f27ec6f-d4ab-45b2-b4a9-6c903223de53.jpg?v=1753424730&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_0738bde2-65b9-4334-94e7-9e57e14958ae.jpg?v=1753424730&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-grey-solid-ruffled-crop-top,tops
Chimpaaanzee Women Crepe Grey Polka Doted Knotted Crop Top,//www.chimpaaanzee.com/cdn/shop/products/1_0de7385e-863d-4133-a920-b6340862de9e.jpg?v=1753424772&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_954ba42f-715d-4872-a1a1-c9735445b7ce.jpg?v=1753424772&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-grey-polka-doted-knotted-crop-top,tops
Chimpaaanzee Women Crepe Grey Open Back Bow Tie Top,//www.chimpaaanzee.com/cdn/shop/products/1_500e6c6c-2a8c-4954-b100-ebcc32cc03c7.jpg?v=1753424778&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_8d35ffbc-3481-4c19-acca-edaf3f19972e.jpg?v=1753424778&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-grey-open-back-bow-tie-top,tops
Chimpaaanzee Women Peach Flower Printed Cold shoulder full sleeve Top,//www.chimpaaanzee.com/cdn/shop/products/1_f1afca3f-80ef-4987-b14d-dd8d35320d6d.jpg?v=1753424630&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_cf636251-ee12-4e2a-a801-60f3daedb8f9.jpg?v=1753424630&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-peach-flower-printed-cold-shoulder-full-sleeve-top,tops
Chimpaaanzee Women Crepe Yellow Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_e8aae3da-c9d3-40af-b30d-0ccd91fa6beb.jpg?v=1753424665&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_98f13d92-15ee-49c2-868f-f7e1cd404848.jpg?v=1753424665&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-yellow-flower-printed-ruffled-top,tops
Chimpaaanzee Women Crepe Maroon Flower Printed Ruffled Top,//www.chimpaaanzee.com/cdn/shop/products/1_5281ca1a-5451-49f0-b2d7-af6533e8a242.jpg?v=1753424666&width=1100,//www.chimpaaanzee.com/cdn/shop/products/2_95dc35b6-7b63-4bca-960f-39c75099c09a.jpg?v=1753424666&width=1100,,https://www.chimpaaanzee.com/products/chimpaaanzee-women-crepe-maroon-flower-printed-ruffled-top,tops
