name,image,price
Pure Cotton Midi Cami Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T42_6100_P6_X_EC_0","₹1,990.00"
Pure Cotton Printed One Shoulder Beach Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0854_B6_X_EC_0","₹1,590.00"
Pure Cotton Printed Midi Smock Relaxed Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_3793U_J4_X_EC_0","₹1,990.00"
Cupro Rich Tiered Midaxi Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T50_3228T_RA_X_EC_0","₹3,190.00"
Pure Cotton Printed Square Neck Midi Waisted Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T42_6261_B4_X_EC_0","₹1,590.00"
Jersey Round Neck Knee Length Skater Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T42_3460_Y0_X_EC_0",₹990.00
Sheer Printed V-Neck Midi Tea Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_9876_Y8_X_EC_0","₹2,990.00"
Pure Cotton Halter Neck Midaxi Beach Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_2239_NK_X_EC_0","₹1,990.00"
Lyocell Rich Polka Dot Sweetheart Neckline Maxi Waisted Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_7228_Y4_X_EC_0","₹3,490.00"
Linen Rich Embroidered Midi Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0062_NZ_X_EC_0","₹2,990.00"
Floral Round Neck Midaxi Tea Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_8830_Y4_X_EC_0","₹2,240.00"
Mini Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_8639_Y0_X_EC_0","₹1,740.00"
Denim Round Neck Mini Shift Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T42_3290_HP_X_EC_0","₹1,990.00"
V-Neck Frill Detail Maxi Column Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T69_7633V_NT_X_EC_90","₹2,990.00"
Floral V-Neck Midaxi Tea Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_3946U_B4_X_EC_90","₹2,490.00"
Linen Rich V-Neck Mini Shift Dress,/on/demandware.static/Sites-mnsindia-Site/-/default/dwc01c448e/images/online_exclusive.png,"₹1,990.00"
V-Neck Midi Beach Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_2203_Y4_X_EC_0","₹2,240.00"
Floral V-Neck Gathered Midi Wrap Dress,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_3643U_E4_X_EC_90","₹2,490.00"
