name,image,price,product_link,product_type
Cotton Rich Fitted Collared Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_4810_Y0_X_EC_0","₹1,405.31",/cotton-rich-fitted-collared-shirt/p/P60510080.html,tops
Crew Neck Cardigan,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_0102_B0_X_EC_0","₹2,999.00",/crew-neck-cardigan/p/P60707600.html,tops
Ribbed Twist Front Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3205C_N1_X_EC_0","₹1,874.06",/ribbed-twist-front-top/p/P60734889.html,tops
Lace Jersey Long Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_1012J_Y4_X_EC_0","₹2,499.00",/lace-jersey-long-sleeve-top/p/P60762688.html,tops
Floral Long Sleeve Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_4140W_Y4_X_EC_0","₹2,999.00",/floral-long-sleeve-blouse/p/P60735004.html,tops
Denim Utility Short Sleeve Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_4146W_CE_X_EC_0","₹2,342.81",/denim-utility-short-sleeve-shirt/p/P60734992.html,tops
Tie Neck Ruffle Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_4172W_X7_X_EC_0","₹2,999.00",/tie-neck-ruffle-blouse/p/P60735012.html,tops
Air-Yarn Slogan Crew Neck Jumper,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_8879_P5_X_EC_0","₹2,999.00",/air-yarn-slogan-crew-neck-jumper/p/P60762819.html?dwvar_P60762819_color=P5,tops
Embellished V-Neck Ruffle Long Sleeve Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7102W_KY_X_EC_0","₹2,342.81",/embellished-v-neck-ruffle-long-sleeve-blouse/p/P60763553.html,tops
Broderie Frill Detail Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0084T_P6_X_EC_0","₹2,342.81",/broderie-frill-detail-blouse/p/P60765793.html,tops
Sparkly Fitted Flute Sleeve Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_1012G_SH_X_EC_0","₹2,342.81",/sparkly-fitted-flute-sleeve-shirt/p/P60762143.html,tops
Lace Detail V-Neck Ruffle Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_2588U_Y0_X_EC_0","₹4,999.00",/lace-detail-v-neck-ruffle-blouse/p/P60761071.html,tops
Pure Cotton Striped Bow Detail Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_2915T_E4_X_EC_0","₹3,499.00",/pure-cotton-striped-bow-detail-top/p/P60759646.html,tops
Sheer Printed Ruffle Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_2577U_J4_X_EC_0","₹3,999.00",/sheer-printed-ruffle-blouse/p/P60757200.html,tops
V-Neck Waisted Slim Fit Cardigan,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_4560_FS_X_EC_0","₹3,499.00",/v-neck-waisted-slim-fit-cardigan/p/P60741281.html,tops
Lace Textured Crew Neck Blouse,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_7137W_Y0_X_EC_0","₹2,999.00",/lace-textured-crew-neck-blouse/p/P60761210.html,tops
Animal Print Crew Neck Jumper,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_1185A_Y0_X_EC_0","₹2,342.81",/animal-print-crew-neck-jumper/p/P60753704.html,tops
Cotton Rich Embellished Slash Neck Vest,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_5096C_N7_X_EC_0",₹779.40,/cotton-rich-embellished-slash-neck-vest/p/P60753214.html,tops
Lace Long Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_2981T_KY_X_EC_0","₹1,799.40",/lace-long-sleeve-top/p/P60748124.html,tops
