name,image,price
Cotton Rich Jacquard Beach Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_2199_U3_X_EC_0","₹1,240.00"
ContourWear Waist & Thigh Slimmer,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_02_T32_6801_KN_X_EC_0","₹1,740.00"
Linen Blend Melange Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T59_3733T_NU_X_EC_0","₹1,740.00"
Pure Cotton Cut Out Beach Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_2232_NK_X_EC_0","₹1,490.00"
Denim Boyfriend Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3553_E4_X_EC_0",₹990.00
Pure Cotton Printed Beach Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0859_Y8_X_EC_0",₹590.00
Pure Cotton Printed High Waisted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_4916_E4_X_EC_0",₹990.00
Pure Cotton Textured High Waisted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_7439U_NZ_X_EC_0",₹990.00
Linen Blend High Waisted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T59_1584T_Y0_X_EC_0",₹990.00
Lyocell™ Rich Cargo Tea Dyed Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3084_FS_X_EC_0",₹990.00
Cotton Rich Knee Length Chino Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3051_F0_X_EC_0",₹990.00
Cotton Rich Tea Dyed Chino Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3082_A0_X_EC_0",₹790.00
Linen Rich Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3011_F0_X_EC_0",₹590.00
Pure Linen Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3021_Y0_X_EC_0","₹1,490.00"
Pure Cotton Embroidered High Waisted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_7451U_P6_X_EC_0","₹1,590.00"
High Waisted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T59_9697T_QU_X_EC_0",₹990.00
Pure Cotton Cargo Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_5863_L0_X_EC_0","₹1,690.00"
Pure Cotton Embroidered Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_5871_P6_X_EC_0","₹1,190.00"
Linen Rich Cargo Utility Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_8129_P6_X_EC_0",₹990.00
Linen Rich High Waisted Pleat Front Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T59_3133T_DW_X_EC_0",₹990.00
Button Front High Waist Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_01_T57_5001K_Y0_X_EC_0",₹990.00
Denim Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3606_Y0_X_EC_0",₹990.00
High Waisted Pleat Front Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T59_5124T_F3_X_EC_0",₹990.00
Animal Print High Waisted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T59_9694T_N4_X_EC_0",₹990.00
Pure Cotton Embroidered Beach Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0805_Z4_X_EC_0",₹990.00
Denim Pleat Front Belted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3222_XA_X_EC_0","₹1,590.00"
Magic Shaping Denim High Waisted Shorts,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T57_3892_P6_X_EC_0",₹990.00
