name,image,price
Ribbed Crew Neck Fitted Knitted Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_5062_M0_X_EC_0",₹790.00
Pure Cotton V-Neck Lace Insert Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3577_HW_X_EC_0","₹1,490.00"
Jersey Polka Dot Regular Fit Sleeveless Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_7727_KY_X_EC_0","₹1,490.00"
Plisse Pintuck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T53_1548U_F0_X_EC_0","₹1,490.00"
Linen Rich Cutwork Detail Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_0081_Z0_X_EC_0","₹1,990.00"
Pure Cotton Floral Tie Front Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3100W_E4_X_EC_0","₹1,240.00"
Collared Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0360E_P6_X_EC_0","₹2,240.00"
Linen Rich 3/4 Sleeves Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_01_T52_1008K_F0_X_EC_0","₹1,740.00"
Pure Cotton Printed Crop Beach Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T52_2240_B4_X_EC_0","₹1,240.00"
Modal Rich Gingham Tie Front Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_3014W_N4_X_EC_0","₹1,240.00"
Printed Mesh Jersey Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_7723_L1_X_EC_0","₹1,490.00"
Pure Cotton Embellished Regular Fit Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_2985J_P6_X_EC_0","₹1,490.00"
Animal Print Gathered Neck Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0008T_N4_X_EC_0",₹990.00
Pure Cotton Bubble Hem Puff Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_2932T_Z0_X_EC_0","₹1,490.00"
Jersey Bardot Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_0048J_B0_X_EC_0","₹1,190.00"
Pure Cotton Embellished Slogan T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T41_2010C_UT_X_EC_0",₹990.00
Cotton Rich Tipped Detail Knitted Vest,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_6392_SC_X_EC_0","₹1,490.00"
Cotton Rich Embellished 3/4 Sleeves Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_01_T43_1907K_Y0_X_EC_0","₹1,690.00"
Pure Linen Geometric Print Half Sleeves Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_01_T52_0709K_Y8_X_EC_0","₹1,990.00"
Embellished V-Neck Cami Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T43_3856_N4_X_EC_0","₹1,490.00"
Scallop Edge Button Detail Knitted Vest,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_01_T38_0266_J5_X_EC_0","₹1,690.00"
