name,image,price,product_link,product_type
Cotton Rich Crew Neck Sweatshirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_1261M_UT_X_EC_0","₹1,999.20",/cotton-rich-crew-neck-sweatshirt/p/P60757443.html,t-shirts
Pure Cotton Floral Print Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2065A_F3_X_EC_0","₹4,214.00",/pure-cotton-floral-print-polo-shirt/p/P60753673.html,t-shirts
Pure Cotton Striped Relaxed Crew Neck T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2256M_F0_X_EC_0","₹1,999.00",/pure-cotton-striped-relaxed-crew-neck-t-shirt/p/P60757038.html,t-shirts
Cotton Rich Rugby Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5109M_UT_X_EC_0","₹3,687.00",/cotton-rich-rugby-shirt/p/P60770940.html,t-shirts
Pure Cotton Geometric Print Polo,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2287M_AJ_X_EC_0","₹3,160.00",/pure-cotton-geometric-print-polo/p/P60750148.html,t-shirts
Cotton Rich Zip Up Hoodie,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_4017A_Y0_X_EC_0","₹3,699.00",/cotton-rich-zip-up-hoodie/p/P60714973.html,t-shirts
Tram Stripe Modern Rugby,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5107M_F0_X_EC_0","₹2,199.00",/tram-stripe-modern-rugby/p/P60755075.html,t-shirts
Pure Cotton Striped Rugby Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5102M_F0_X_EC_0","₹2,099.00",/pure-cotton-striped-rugby-shirt/p/P60744276.html,t-shirts
Pure Cotton 2-Tone Waffle Sweatshirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5077M_TY_X_EC_0","₹1,899.00",/pure-cotton-2-tone-waffle-sweatshirt/p/P60715058.html,t-shirts
Cotton Rich Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_2337M_F3_X_EC_0","₹1,949.00",/cotton-rich-knitted-polo-shirt/p/P60709465.html,t-shirts
Cotton Rich Hawaii Graphic Crew Neck T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_4140M_F3_X_EC_0","₹1,049.00",/cotton-rich-hawaii-graphic-crew-neck-t-shirt/p/P60749506.html,t-shirts
Pure Cotton Striped Half Zip Sweatshirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2169M_QJ_X_EC_0","₹2,949.60",/pure-cotton-striped-half-zip-sweatshirt/p/P60744279.html,t-shirts
Jacquard Palm Leaf Print Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5619M_Y4_X_EC_0","₹2,599.00",/jacquard-palm-leaf-print-polo-shirt/p/P60734076.html,t-shirts
Pure Cotton Textured Tipped Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5097M_MS_X_EC_0","₹2,199.00",/pure-cotton-textured-tipped-polo-shirt/p/P60744355.html,t-shirts
Cotton Rich Striped Revere Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2060A_JP_X_EC_0","₹4,214.00",/cotton-rich-striped-revere-polo-shirt/p/P60740572.html,t-shirts
Cotton Modal Geometric Knitted Polo,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_2496M_UB_X_EC_0","₹2,449.00",/cotton-modal-geometric-knitted-polo/p/P60745649.html,t-shirts
Lambswool Blend V-Neck Knitted Vest,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_5057M_TY_X_EC_0","₹2,199.00",/lambswool-blend-v-neck-knitted-vest/p/P60756767.html,t-shirts
Lambswool Blend Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_5056M_T4_X_EC_0","₹3,299.00",/lambswool-blend-knitted-polo-shirt/p/P60745599.html,t-shirts
Cotton Rich Half Zip Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_4294M_Y0_X_EC_0","₹1,499.00",/cotton-rich-half-zip-knitted-polo-shirt/p/P60719394.html,t-shirts
Cotton Blend Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_4298M_Y8_X_EC_0","₹2,599.00",/cotton-blend-knitted-polo-shirt/p/P60729612.html,t-shirts
Pure Cotton Floral Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_1773A_XH_X_EC_0","₹2,599.00",/pure-cotton-floral-knitted-polo-shirt/p/P60742496.html,t-shirts
Textured Crew Neck Knitted Jumper,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_6003A_XH_X_EC_0","₹3,299.00",/textured-crew-neck-knitted-jumper/p/P60745477.html,t-shirts
Pure Extra Fine Merino Wool Crew Neck Jumper,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_3000A_F3_X_EC_0","₹2,599.00",/pure-extra-fine-merino-wool-crew-neck-jumper/p/P60744504.html,t-shirts
Mercerised Cotton Geometric Half Zip Polo,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_6008A_N7_X_EC_0","₹3,099.00",/mercerised-cotton-geometric-half-zip-polo/p/P60745476.html,t-shirts
Cotton Blend Ribbed Half Zip Jumper,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_2968M_HS_X_EC_0","₹2,599.00",/cotton-blend-ribbed-half-zip-jumper/p/P60757425.html,t-shirts
Pure Extra Fine Merino Wool Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_3003A_N7_X_EC_0","₹3,149.00",/pure-extra-fine-merino-wool-polo-shirt/p/P60757771.html,t-shirts
Half zip Long Sleeve Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_6005A_GX_X_EC_0","₹3,099.00",/half-zip-long-sleeve-knitted-polo-shirt/p/P60744445.html,t-shirts
Cotton Rich Fleece Lined Hoodie,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2194M_F0_X_EC_0","₹3,699.00",/cotton-rich-fleece-lined-hoodie/p/P60744215.html,t-shirts
Cotton Rich Jacquard Zip Up Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2265M_GK_X_EC_0","₹1,799.00",/cotton-rich-jacquard-zip-up-polo-shirt/p/P60744160.html,t-shirts
Cotton Rich Jacquard Scuba T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_4038A_T1_X_EC_0","₹3,160.00",/cotton-rich-jacquard-scuba-t-shirt/p/P60740234.html,t-shirts
Cotton Rich Hoodie,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_1409M_OO_X_EC_0","₹2,528.00",/cotton-rich-hoodie/p/P60750422.html,t-shirts
Ultimate Cotton Rich Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5383M_XC_X_EC_0","₹1,199.00",/ultimate-cotton-rich-polo-shirt/p/P60744347.html,t-shirts
Pure Cotton Geometric Print Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2062A_KN_X_EC_0","₹4,214.00",/pure-cotton-geometric-print-polo-shirt/p/P60746645.html,t-shirts
Cotton Rich Relaxed Fit Crew Neck Sweatshirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_1081M_F3_X_EC_0","₹1,749.00",/cotton-rich-relaxed-fit-crew-neck-sweatshirt/p/P60746451.html,t-shirts
Pure Cotton Geometric Jacquard T shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_4035A_N7_X_EC_0","₹1,799.00",/pure-cotton-geometric-jacquard-t-shirt/p/P60740220.html,t-shirts
Cotton Rich Waffle Half Zip Long Sleeve Top,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_4023A_SU_X_EC_0","₹2,599.00",/cotton-rich-waffle-half-zip-long-sleeve-top/p/P60714877.html,t-shirts
Pure Supima® Cotton Geometric Polo,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2064A_O4_X_EC_0","₹3,999.00",/pure-supima%C2%AE-cotton-geometric-polo/p/P60740594.html,t-shirts
Pure Cotton Striped T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_3412M_NZ_X_EC_0","₹1,749.00",/pure-cotton-striped-t-shirt/p/P60716951.html?dwvar_P60716951_color=NZ,t-shirts
Mercerised Cotton Textured Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_1769A_I4_X_EC_0","₹1,999.00",/mercerised-cotton-textured-knitted-polo-shirt/p/P60733097.html,t-shirts
Cotton Rich Textured Knitted Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_4268M_F0_X_EC_0","₹1,499.00",/cotton-rich-textured-knitted-polo-shirt/p/P60719281.html,t-shirts
Cotton Rich Seersucker Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_3515M_KY_X_EC_0","₹2,099.00",/cotton-rich-seersucker-polo-shirt/p/P60732258.html,t-shirts
Pure Cotton Bike Print T-shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_1413M_F3_X_EC_0",₹749.00,/pure-cotton-bike-print-t-shirt/p/P60744732.html,t-shirts
Pure Cotton Large Palm Graphic T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_1412M_KY_X_EC_0","₹1,049.00",/pure-cotton-large-palm-graphic-t-shirt/p/P60744728.html,t-shirts
Pure Cotton Surfboard Graphic T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_1411M_DP_X_EC_0",₹749.00,/pure-cotton-surfboard-graphic-t-shirt/p/P60744847.html,t-shirts
Linen Blend Crew Neck T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_4040A_Y0_X_EC_0","₹1,749.00",/linen-blend-crew-neck-t-shirt/p/P60729617.html,t-shirts
Pure Cotton Exploded Palm Print Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_1554M_DP_X_EC_0","₹1,799.00",/pure-cotton-exploded-palm-print-polo-shirt/p/P60732067.html,t-shirts
Pure Cotton Houndstooth Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5095M_NZ_X_EC_0","₹3,160.00",/pure-cotton-houndstooth-polo-shirt/p/P60733120.html,t-shirts
Pure Supima® Cotton Embroidered Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2091A_OM_X_EC_0","₹2,499.00",/pure-supima%C2%AE-cotton-embroidered-polo-shirt/p/P60714626.html,t-shirts
Pure Cotton Relaxed Fit Stich Polo,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T30_4301M_VJ_X_EC_0","₹1,399.00",/pure-cotton-relaxed-fit-stich-polo/p/P60730654.html?dwvar_P60730654_color=VJ,t-shirts
Pure Cotton Chest Stripe Crew Neck T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5507M_F3_X_EC_0","₹1,099.00",/pure-cotton-chest-stripe-crew-neck-t-shirt/p/P60732246.html,t-shirts
Pure Supima® Cotton Geometric Print Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2075A_TF_X_EC_0","₹2,099.00",/pure-supima%C2%AE-cotton-geometric-print-polo-shirt/p/P60716230.html,t-shirts
Pure Cotton Textured Polo Neck T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_03_T28_0035K_Z0_X_EC_0","₹1,499.00",/pure-cotton-textured-polo-neck-t-shirt/p/P60743495.html,t-shirts
Pure Cotton Geometric Polo Neck T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_03_T28_0036K_Y4_X_EC_0","₹1,199.00",/pure-cotton-geometric-polo-neck-t-shirt/p/P60744406.html,t-shirts
Pure Cotton Chain Print Revere Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2090A_SU_X_EC_0","₹2,599.00",/pure-cotton-chain-print-revere-polo-shirt/p/P60714650.html,t-shirts
Cotton Rich Striped Textured T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_3414M_DP_X_EC_90","₹1,249.00",/cotton-rich-striped-textured-t-shirt/p/P60721438.html,t-shirts
Pure Supima® Cotton Textured Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2057A_F3_X_EC_0","₹2,399.00",/pure-supima%C2%AE-cotton-textured-polo-shirt/p/P60714696.html,t-shirts
Pure Cotton Printed Half Sleeves Polo,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/OD_03_T28_0019K_Z0_X_EC_0",₹749.00,/pure-cotton-printed-half-sleeves-polo/p/P60712048.html,t-shirts
Pure Cotton Textured Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5094M_ID_X_EC_0","₹1,799.00",/pure-cotton-textured-polo-shirt/p/P60722343.html?dwvar_P60722343_color=ID,t-shirts
Soft Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_3404M_KL_X_EC_0","₹1,749.00",/soft-polo-shirt/p/P60716946.html,t-shirts
Pure Cotton Textured T-Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_3410M_GK_X_EC_0","₹1,249.00",/pure-cotton-textured-t-shirt/p/P60714689.html,t-shirts
Pure Supima® Cotton Jacquard Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2045A_SU_X_EC_0","₹1,999.00",/pure-supima%C2%AE-cotton-jacquard-polo-shirt/p/P60716205.html,t-shirts
Pure Cotton Pique Striped Polo Shirt,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_5078M_KY_X_EC_0","₹1,799.00",/pure-cotton-pique-striped-polo-shirt/p/P60719292.html,t-shirts
Baggy Fit Denim Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1780F_XB_X_EC_0","₹4,999.00",/baggy-fit-denim-jeans/p/P60757685.html,jeans
Slim Fit Comfort Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1857S_Q1_X_EC_0","₹3,499.00",/slim-fit-comfort-stretch-jeans/p/P60748741.html,jeans
Straight Fit Italian Soft Touch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1255M_XB_X_EC_0","₹2,599.00",/straight-fit-italian-soft-touch-jeans/p/P60746735.html,jeans
Tapered Fit Smart Pleat Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1723T_QP_X_EC_0","₹2,599.00",/tapered-fit-smart-pleat-jeans/p/P60746777.html,jeans
Tapered Fit Vintage Wash Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1667T_NJ_X_EC_0","₹1,749.00",/tapered-fit-vintage-wash-stretch-jeans/p/P60721258.html,jeans
Slim Fit Vintage Wash Crosshatch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1699S_Y4_X_EC_0","₹2,099.00",/slim-fit-vintage-wash-crosshatch-jeans/p/P60730728.html,jeans
Tapered Fit Vintage Crosshatch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1699T_Y4_X_EC_0","₹1,749.00",/tapered-fit-vintage-crosshatch-jeans/p/P60730020.html,jeans
Straight Fit Vintage Wash Crosshatch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1699M_Y4_X_EC_0","₹1,749.00",/straight-fit-vintage-wash-crosshatch-jeans/p/P60723557.html,jeans
Slim Fit 360 Flex Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1395S_E4_X_EC_90","₹1,999.00",/slim-fit-360-flex-stretch-jeans/p/P60685381.html,jeans
Slim Fit Vintage Wash Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1663S_E7_X_EC_0","₹1,749.00",/slim-fit-vintage-wash-stretch-jeans/p/P60581337.html,jeans
Slim Fit Soft Touch 5 Pocket Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1267S_XU_X_EC_0","₹2,199.00",/slim-fit-soft-touch-5-pocket-jeans/p/P60685512.html?dwvar_P60685512_color=XU,jeans
Straight Leg Soft Touch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1267M_E2_X_EC_0","₹2,199.00",/straight-leg-soft-touch-jeans/p/P60681033.html,jeans
Relaxed Tapered Fit Single Pleat Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1623S_QP_X_EC_0","₹2,099.00",/relaxed-tapered-fit-single-pleat-jeans/p/P60688422.html,jeans
