name,image,price,product_link,product_type
Loose Fit Stretch Chinos,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6601F_F0_X_EC_0","₹1,954.15",/loose-fit-stretch-chinos/p/P60742250.html,jeans
Loose Fit Linen Blend Elasticated Waist Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_5383F_SV_X_EC_0","₹3,999.00",/loose-fit-linen-blend-elasticated-waist-trousers/p/P60780094.html,jeans
Loose Fit Pure Cotton Utility Trousers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_3355M_QG_X_EC_0","₹3,399.15",/loose-fit-pure-cotton-utility-trousers/p/P60768654.html,jeans
Cotton Rich Herringbone Joggers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_3445M_F0_X_EC_0","₹3,499.00",/cotton-rich-herringbone-joggers/p/P60744189.html,jeans
Pique Scuba Joggers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_4340M_AW_X_EC_0","₹3,999.00",/pique-scuba-joggers/p/P60744177.html,jeans
Baggy Fit Denim Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1780F_XB_X_EC_0","₹2,999.00",/baggy-fit-denim-jeans/p/P60757685.html,jeans
Tapered Fit Super Lightweight Chinos,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_6010M_F3_X_EC_0","₹2,699.00",/tapered-fit-super-lightweight-chinos/p/P60746264.html,jeans
Slim Fit Comfort Stretch Jeans,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T17_1857S_Q1_X_EC_0","₹2,974.15",/slim-fit-comfort-stretch-jeans/p/P60748741.html,jeans
Pure Cotton Fleece Lined Joggers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_2615M_Y0_X_EC_90","₹3,687.00",/pure-cotton-fleece-lined-joggers/p/P60702864.html,jeans
Regular Fit Herringbone Cargo Joggers,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_550,h_715,q_auto,f_auto,e_sharpen/SD_03_T28_3446M_F0_X_EC_0","₹3,499.00",/regular-fit-herringbone-cargo-joggers/p/P60751236.html,jeans
