name,image,price
PRINTED SATIN PAPERBAG BERMUDA SHORTS - Ecru by Zara,https://static.zara.net/assets/public/a0c3/af06/dfe646afa82d/b55606a55fdc/01165040712-a1/01165040712-a1.jpg?ts=1750086445825&w=573,"₹ 2,950.00"
HIGH-WAIST CURVED DENIM SHORTS - Black by Zara,https://static.zara.net/assets/public/2644/649b/f93c4852ad1e/5ee6b9e812ad/03607002800-a1/03607002800-a1.jpg?ts=1750150416138&w=573,"₹ 2,550.00"
BERMUDA SHORTS WITH DARTS AND BELT - Khaki by Zara,https://static.zara.net/assets/public/5ea8/e6ef/62324643a02b/ecc581b4ffa9/08372444505-a3/08372444505-a3.jpg?ts=1750241958467&w=573,"₹ 2,950.00"
SKORT - Oyster-white by Zara,https://static.zara.net/assets/public/b414/c651/54b84f4a9c0b/bf033f9363e8/03067445251-p/03067445251-p.jpg?ts=1750173806114&w=573,"₹ 2,550.00"
HIGH-WAIST CURVED DENIM SHORTS - Navy blue by Zara,https://static.zara.net/assets/public/2e6a/5cc5/81cd41f3b114/ec5ecd30e04b/02569003401-p/02569003401-p.jpg?ts=1750150418247&w=573,"₹ 2,550.00"
HIGH-WAIST CURVED DENIM SHORTS - Blue by Zara,https://static.zara.net/assets/public/b1a2/6ab6/fe0442d6a000/e143dc246252/08727002400-a2/08727002400-a2.jpg?ts=1750150417825&w=573,"₹ 2,550.00"
HIGH-WAIST CURVED DENIM SHORTS - Light blue by Zara,https://static.zara.net/assets/public/6bb7/7892/f6db4639b855/014d33c67272/02569003406-p/02569003406-p.jpg?ts=1750150418344&w=573,"₹ 2,550.00"
MID-WAIST TRF MINI DENIM SHORTS - Sky blue by Zara,https://static.zara.net/assets/public/0fee/6976/f0e246a1bdba/10ae9cab30cd/08197104403-a1/08197104403-a1.jpg?ts=1750150417859&w=573,"₹ 2,550.00"
MID-RISE LINEN BLEND BERMUDA SHORTS - Light blue by Zara,https://static.zara.net/assets/public/5105/96d6/503c40fcb41d/7a0726f3b00c/02753629406-a1/02753629406-a1.jpg?ts=1749197238072&w=573,"₹ 2,550.00"
ASYMMETRIC SKORT - Light yellow by Zara,https://static.zara.net/assets/public/f8b6/62db/5dc74b86a222/61b774fac5af/03152532306-a1/03152532306-a1.jpg?ts=1748449153692&w=573,"₹ 2,550.00"
100% LINEN SHORTS ZW COLLECTION - Pastel yellow by Zara,https://static.zara.net/assets/public/e9d0/ee3e/6a3547f9b149/a461c0835fe1/04786202321-a2/04786202321-a2.jpg?ts=1743334663534&w=573,"₹ 3,550.00"
BELTED BERMUDA SHORTS WITH DARTS - White by Zara,https://static.zara.net/assets/public/b870/3301/a5304af19085/2dce5ab573c7/04387065250-a1/04387065250-a1.jpg?ts=1746183189313&w=573,"₹ 2,950.00"
SKORT WITH SLIT AT THE HEM - Black by Zara,https://static.zara.net/assets/public/eda8/ef0b/b2bf4d0d80ba/b1686043c8f0/01165380800-000-a1/01165380800-000-a1.jpg?ts=1744795639593&w=573,"₹ 2,950.00"
ASYMMETRIC SKORT - Black by Zara,https://static.zara.net/assets/public/cddd/f59a/d37f4ab4ab22/4e7dec8443bf/03152532800-a1/03152532800-a1.jpg?ts=1742377627627&w=573,"₹ 2,550.00"
Z1975 DENIM SKORT - Khaki by Zara,https://static.zara.net/assets/public/5071/3a0c/1efe4cf2ab12/c99c2ac1cc89/08228032505-p/08228032505-p.jpg?ts=1749725468473&w=573,"₹ 2,550.00"
KNIT SHORTS - Light yellow by Zara,https://static.zara.net/assets/public/ec11/4a9a/e8fb42b79dfd/4fe856619906/03920261306-a4/03920261306-a4.jpg?ts=1750083412256&w=573,"₹ 1,950.00"
MID-RISE LINEN BLEND BERMUDA SHORTS - Pink by Zara,https://static.zara.net/assets/public/1e66/194d/c5b9478dac70/e370af95a32e/02753529620-000-a5/02753529620-000-a5.jpg?ts=1748355817474&w=573,"₹ 2,550.00"
Z1975 WRAP DENIM SKORT - Black by Zara,https://static.zara.net/assets/public/123a/c5d7/97824945a7fa/7c3440ae9d23/07147025800-a2/07147025800-a2.jpg?ts=1743771772788&w=573,"₹ 2,550.00"
PLEATED TRF DENIM SHORTS - Blue by Zara,https://static.zara.net/assets/public/f535/b5af/a4a249dd8c0b/72360168f042/04365009400-a2/04365009400-a2.jpg?ts=1744358607947&w=573,"₹ 2,950.00"
Z1975 WRAP DENIM SKORT - Mid-blue by Zara,https://static.zara.net/assets/public/fc55/2562/7c5d47a998d2/f6d876136d8e/06147108427-a1/06147108427-a1.jpg?ts=1748598300296&w=573,"₹ 2,950.00"
SKORT WITH CUTWORK EMBROIDERY - White by Zara,https://static.zara.net/assets/public/bf80/46b3/490c4ba4813b/86247870dbf8/03357868250-a4/03357868250-a4.jpg?ts=1746001912969&w=573,"₹ 2,950.00"
PLEATED POLKA DOT BERMUDA SHORTS - Ecru by Zara,https://static.zara.net/assets/public/934f/86cb/ad0249798736/0e414d44fd84/01608042712-a1/01608042712-a1.jpg?ts=1746795359734&w=573,"₹ 2,950.00"
HIGH-WAIST BERMUDA SHORTS - Black by Zara,https://static.zara.net/assets/public/1940/2656/cfde411098b1/2ecc2fbe45cc/01608136800-a4/01608136800-a4.jpg?ts=1748424495788&w=573,"₹ 2,550.00"
SKORT WITH BOW - Pink by Zara,https://static.zara.net/assets/public/9b39/9188/0861458ebf41/5c635b4b1ba0/03644159620-a1/03644159620-a1.jpg?ts=1742568590484&w=573,"₹ 2,550.00"
GAUZE PYJAMA SHORTS - Printed by Zara,https://static.zara.net/assets/public/d5c4/437e/b21f4599b655/71fe68acc223/07200413047-a2/07200413047-a2.jpg?ts=1747232318564&w=573,"₹ 2,350.00"
EMBROIDERED MIRROR BERMUDA SHORTS - Terracotta by Zara,https://static.zara.net/assets/public/e45f/2054/f7cb49edb4d6/8d9c62cfba94/05770027658-p/05770027658-p.jpg?ts=1746722285159&w=573,"₹ 5,550.00"
ASYMMETRIC SKORT - White by Zara,https://static.zara.net/assets/public/7d6a/e368/f06d486ebad3/b3232ba10834/03152432250-p/03152432250-p.jpg?ts=1742372586336&w=573,"₹ 2,550.00"
CHECK BOX PLEAT SKORT - Grey by Zara,https://static.zara.net/assets/public/93ba/9528/6c2a49f5bedf/2b8e1ad8b4b2/01165021802-a1/01165021802-a1.jpg?ts=1741687290168&w=573,"₹ 3,350.00"
PERFORATED EMBROIDERED BERMUDA SHORTS - Oyster-white by Zara,https://static.zara.net/assets/public/4f30/e1d5/ff71409f85e2/d5b112a5897a/03632818251-a3/03632818251-a3.jpg?ts=1747149039763&w=573,"₹ 2,950.00"
MID-WAIST RIPPED TRF DENIM BERMUDA SHORTS - Navy blue by Zara,https://static.zara.net/assets/public/580d/3b26/31ae4aa9b4fb/049c0ef0b6dd/08727009401-p/08727009401-p.jpg?ts=1746193703186&w=573,"₹ 2,950.00"
ZW COLLECTION EMBROIDERED SHORTS - Black by Zara,https://static.zara.net/assets/public/b0f1/e1a3/2a714afcab50/a3030cee19f2/05107071800-a3/05107071800-a3.jpg?ts=1746180895741&w=573,"₹ 3,550.00"
WRAP SKORT WITH BELT - Indigo by Zara,https://static.zara.net/assets/public/d8cd/e41c/dd0e43548556/3ad2d55476d2/05029100405-a1/05029100405-a1.jpg?ts=1747738949040&w=573,"₹ 3,350.00"
MID-WAIST TRF MINI DENIM SHORTS - Light blue by Zara,https://static.zara.net/assets/public/5106/1a12/29284055ada4/8bce9723c509/08197104406-a2/08197104406-a2.jpg?ts=1745505582826&w=573,"₹ 2,550.00"
TRF DENIM SKORT - Blue by Zara,https://static.zara.net/assets/public/e0ba/76e8/e130486f9656/6336c5137fae/08727106400-p/08727106400-p.jpg?ts=1749138034715&w=573,"₹ 2,950.00"
GINGHAM SKORT - Pink / White by Zara,https://static.zara.net/assets/public/8ab7/b5e6/7cc448abaf83/3027818e04b9/01478090046-a1/01478090046-a1.jpg?ts=1748507926691&w=573,"₹ 2,950.00"
SKORT WITH SLIT AT THE HEM - Brown by Zara,https://static.zara.net/assets/public/0d1f/3045/2d6c409ca72d/e50fae0b5d1b/01478041700-p/01478041700-p.jpg?ts=1741687290234&w=573,"₹ 2,950.00"
BERMUDA SHORTS WITH CONTRAST WAIST TRIM - Oyster-white by Zara,https://static.zara.net/assets/public/4f35/62e5/ce2a4ab7905c/bdbccdbdcecf/03285593251-a2/03285593251-a2.jpg?ts=1744734623796&w=573,"₹ 2,950.00"
CULOTTES WITH PLEATED DETAIL - Black by Zara,https://static.zara.net/assets/public/c47e/e10a/a81140c29b58/b5bd482f7068/01478525800-a1/01478525800-a1.jpg?ts=1740418118174&w=573,"₹ 2,950.00"
BOX PLEAT SKORT - Light grey by Zara,https://static.zara.net/assets/public/67fb/4a12/25034bf2afc6/81cf47b9cb72/04661427811-a1/04661427811-a1.jpg?ts=1741780549431&w=573,"₹ 2,950.00"
MID-WAIST TRF CAPRI DENIM BERMUDA SHORTS - Dark indigo by Zara,https://static.zara.net/assets/public/5d42/864d/a33c423ba28b/e465e3085181/06688007443-p/06688007443-p.jpg?ts=1746783752535&w=573,"₹ 2,950.00"
SKORT WITH BUTTONS - Black by Zara,https://static.zara.net/assets/public/b1a4/8a52/1c4944838316/6365f18d56af/02327791800-a1/02327791800-a1.jpg?ts=1741803784789&w=573,"₹ 2,950.00"
SKORT WITH SLIT AT THE HEM - Ecru by Zara,https://static.zara.net/assets/public/21c6/405c/2e774ff29516/4d2aae9fb5b9/02711597712-a6/02711597712-a6.jpg?ts=1741804594950&w=573,"₹ 2,950.00"
Z1975 WRAP DENIM SKORT - White by Zara,https://static.zara.net/assets/public/1d59/46a4/b2574466b45d/43bc1439272b/06147086250-p/06147086250-p.jpg?ts=1749742046912&w=573,"₹ 2,550.00"
SKORT - Mid-pink by Zara,https://static.zara.net/assets/public/1560/5b30/6e414e93b519/9f6de00bf243/03152449645-a1/03152449645-a1.jpg?ts=1749028065707&w=573,"₹ 2,550.00"
SHORT SKIRT WITH SLIT - Black by Zara,https://static.zara.net/assets/public/7037/15da/25ab480a94b5/e239fadf21b5/05070007800-a1/05070007800-a1.jpg?ts=1748591987856&w=573,"₹ 2,550.00"
Z1975 WRAP DENIM SKORT - Blue by Zara,https://static.zara.net/assets/public/a315/3a12/5a6e411c9f62/d0b9ccf2947a/07484062407-p/07484062407-p.jpg?ts=1740483050428&w=573,"₹ 2,550.00"
