name,image,price
TEXTURED CLASP TOP - Light brown by Zara,https://static.zara.net/assets/public/92fe/7a3c/2fa64e7f9806/be8cb268aa84/03644177730-a2/03644177730-a2.jpg?ts=1744117041356&w=573,"₹ 2,350.00"
TEXTURED CLASP TOP - Oyster-white by Zara,https://static.zara.net/assets/public/77ee/d288/a3f347549d67/11418e338908/03644177251-a3/03644177251-a3.jpg?ts=1744205287560&w=573,"₹ 2,350.00"
GATHERED TIE TOP - Chocolate by Zara,https://static.zara.net/assets/public/7111/4892/e7dd4fe8be02/dc4c0409582f/01937304717-a1/01937304717-a1.jpg?ts=1749134077737&w=573,"₹ 2,350.00"
PLAIN KNIT WAISTCOAT TOP - Mid-ecru by Zara,https://static.zara.net/assets/public/10c2/6921/4a8c495d9a5b/399b05257dc6/04192003715-a1/04192003715-a1.jpg?ts=1750260938079&w=573,"₹ 2,950.00"
SHORT SLEEVE KNIT TOP WITH PIPING - Brown by Zara,https://static.zara.net/assets/public/4612/18db/b8cc472d8c15/ad41ac260d99/03390008700-p/03390008700-p.jpg?ts=1750263074193&w=573,"₹ 2,150.00"
POLYAMIDE STRAPPY BODYSUIT - White by Zara,https://static.zara.net/assets/public/2a71/4678/564443818b10/96ff97400885/05039312250-p/05039312250-p.jpg?ts=1740928616450&w=573,"₹ 1,550.00"
SHORT SLEEVE KNIT TOP WITH PIPING - Navy / White by Zara,https://static.zara.net/assets/public/39fc/199c/036843d382d0/96cb5ceb5f4a/03390008043-a1/03390008043-a1.jpg?ts=1750241957595&w=573,"₹ 2,150.00"
PEPLUM STRETCH TOP - Oyster-white by Zara,https://static.zara.net/assets/public/d2c2/1bfa/0da142f385f2/304e88f707aa/04661049251-a1/04661049251-a1.jpg?ts=1750173806402&w=573,"₹ 2,950.00"
STRETCH TOP WITH BOWS - Black by Zara,https://static.zara.net/assets/public/36e9/a805/505744a1a1b3/e5444c260e23/04772032800-a1/04772032800-a1.jpg?ts=1750173807301&w=573,"₹ 2,550.00"
SATIN HALTER TOP - White by Zara,https://static.zara.net/assets/public/cb09/c4d7/d3ad42868824/4ee0254c7ecb/03613331250-p/03613331250-p.jpg?ts=1750173804672&w=573,"₹ 2,350.00"
SHORT SLEEVE KNIT TOP - Light beige by Zara,https://static.zara.net/assets/public/81d0/83b9/b72d4290819e/5ef53f50921e/01957003721-p/01957003721-p.jpg?ts=1749813021284&w=573,"₹ 2,550.00"
SATIN HALTER TOP - Ecru by Zara,https://static.zara.net/assets/public/5bd3/511d/e92b4751a56a/e79e6a019448/08016399712-a1/08016399712-a1.jpg?ts=1750086442271&w=573,"₹ 2,350.00"
KNIT TOP WITH PIPING - Navy blue by Zara,https://static.zara.net/assets/public/230a/7481/2dab44b4a0ad/96c4cec04b0a/02142040401-a1/02142040401-a1.jpg?ts=1748964824815&w=573,"₹ 2,950.00"
BASIC PLAIN KNIT SHORT SLEEVE TOP - Light blue by Zara,https://static.zara.net/assets/public/002b/b463/d6a44497b56c/3aa636211e77/08851005406-p/08851005406-p.jpg?ts=1748450169445&w=573,"₹ 2,350.00"
POLYAMIDE TOP WITH WIDE STRAPS - Dark fuchsia by Zara,https://static.zara.net/assets/public/0865/a717/7d7548c1ac8b/46041e91cac1/03905981940-a2/03905981940-a2.jpg?ts=1746183180458&w=573,₹ 650.00
TEXTURED WAISTCOAT WITH BELT - White / Sky blue by Zara,https://static.zara.net/assets/public/ee77/e7b8/da6c4eeab528/ad6a9bf2ba2a/02132116058-a1/02132116058-a1.jpg?ts=1742565513403&w=573,"₹ 5,950.00"
PLAIN KNIT CORSET TOP - Yellow by Zara,https://static.zara.net/assets/public/d66f/e361/41294a5eb492/935ddd948aa2/05536038300-a2/05536038300-a2.jpg?ts=1742992606254&w=573,"₹ 2,550.00"
POLYAMIDE STRAPPY BODYSUIT - Black by Zara,https://static.zara.net/assets/public/f8cf/10f5/5ba04a8d8dae/e3c935e51f4e/05039312800-p/05039312800-p.jpg?ts=1740928624788&w=573,"₹ 1,550.00"
LINEN BLEND SHORT WAISTCOAT - Light beige by Zara,https://static.zara.net/assets/public/ce75/d7e2/cf1b4d139b2b/b6025f31ee16/02406998052-a1/02406998052-a1.jpg?ts=1747384975505&w=573,"₹ 3,550.00"
HALTER GATHERED TOP - Yellow by Zara,https://static.zara.net/assets/public/400e/7ea5/586b493fa0a3/aad5d567ae71/03644310300-a1/03644310300-a1.jpg?ts=1747300866348&w=573,"₹ 1,950.00"
STRETCH TOP WITH BOWS - Light yellow by Zara,https://static.zara.net/assets/public/4264/65d5/940b4906aaea/974ff87a7a32/04764032306-a1/04764032306-a1.jpg?ts=1747995756902&w=573,"₹ 2,550.00"
STRIPED SHORT SLEEVE TOP - White / Navy by Zara,https://static.zara.net/assets/public/7aa9/4828/79864bec900e/415afcf6d3be/02702205060-e1/02702205060-e1.jpg?ts=1741164044403&w=573,"₹ 2,950.00"
POLKA DOT HALTER TOP - Ecru / Black by Zara,https://static.zara.net/assets/public/4e5e/0fac/72d545cf8786/33e79a19fdb4/01608052070-a1/01608052070-a1.jpg?ts=1746795359237&w=573,"₹ 2,550.00"
